ngram,n,predicted,first
the other day,954,day,the other
what kind of,953,of,what kind
but i don't,952,don't,but i
happy new year,952,year,happy new
it can be,952,be,it can
i'd like to,951,to,i'd like
many of the,951,the,many of
to be on,951,on,to be
that you are,950,are,that you
and i love,949,love,and i
to get out,949,out,to get
to all of,945,of,to all
when i get,945,get,when i
are you going,941,going,are you
you don't have,937,have,you don't
is on the,936,the,is on
a piece of,934,of,a piece
i was so,931,so,i was
it's going to,930,to,it's going
is such a,929,a,is such
get back to,928,to,get back
make sure you,928,you,make sure
a few years,927,years,a few
dont want to,925,to,dont want
to get back,925,back,to get
i don't like,922,like,i don't
the number of,921,of,the number
the opportunity to,921,to,the opportunity
that there is,920,is,that there
i got to,919,to,i got
if i had,918,had,if i
one of our,917,our,one of
to listen to,917,to,to listen
with all the,917,the,with all
so much fun,916,fun,so much
will not be,916,be,will not
all of you,915,you,all of
up with the,915,the,up with
sounds like a,914,a,sounds like
to do this,912,this,to do
we want to,912,to,we want
i get a,911,a,i get
to work on,907,on,to work
and a half,906,half,and a
what it is,906,is,what it
to work with,905,with,to work
more and more,904,more,more and
time to get,902,get,time to
to deal with,902,with,to deal
that we are,901,are,that we
to tell you,900,you,to tell
as part of,899,of,as part
have been a,898,a,have been
going to do,897,do,going to
being able to,896,to,being able
it was so,895,so,it was
to see how,894,how,to see
and i had,893,had,and i
happy mothers day,893,day,happy mothers
this is my,893,my,this is
feel like i,891,i,feel like
don't forget to,890,to,don't forget
that is a,889,a,that is
i dont think,888,think,i dont
the kind of,888,of,the kind
the time i,888,i,the time
to check out,886,out,to check
to see a,886,a,to see
you and your,885,your,you and
how much i,884,i,how much
you going to,884,to,you going
to go back,881,back,to go
to see it,881,it,to see
as a result,879,result,as a
be on the,878,the,be on
of course i,877,i,of course
you can get,877,get,you can
the last time,875,time,the last
rt if you,873,you,rt if
bit of a,869,a,bit of
if i can,869,can,if i
the people who,868,who,the people
of the new,867,new,of the
to try to,863,to,to try
and then i,861,i,and then
it should be,860,be,it should
want to get,860,get,want to
a good thing,859,thing,a good
all of us,859,us,all of
just have to,859,to,just have
due to the,856,the,due to
for the rest,856,rest,for the
i can see,855,see,i can
for some reason,854,reason,for some
hope you have,852,have,hope you
my way to,852,to,my way
see you there,852,there,see you
but if you,851,you,but if
i think you,851,you,i think
want to know,850,know,want to
was a great,850,great,was a
i can't believe,847,believe,i can't
i had the,847,the,i had
the same way,847,way,the same
he was a,846,a,he was
it looks like,845,like,it looks
all of my,844,my,all of
so you can,843,can,so you
ready for the,842,the,ready for
seem to be,842,be,seem to
if you need,841,need,if you
a lot more,840,more,a lot
and i don't,839,don't,and i
for all of,839,of,for all
so we can,839,can,so we
as it is,837,is,as it
the best of,837,of,the best
when you are,837,are,when you
the power of,836,of,the power
if i could,833,could,if i
me in the,832,the,me in
was a good,832,good,was a
in a while,831,while,in a
to be an,831,an,to be
down to the,830,the,down to
a picture of,829,of,a picture
to take the,829,the,to take
getting ready for,828,for,getting ready
out to the,827,the,out to
do you want,826,want,do you
for the day,826,day,for the
are you doing,825,doing,are you
for the mention,825,mention,for the
happy mother's day,825,day,happy mother's
any of the,824,the,any of
a few of,823,of,a few
that he was,823,was,that he
that this is,821,is,that this
know if you,820,you,know if
to get it,819,it,to get
where are you,819,you,where are
may not be,818,be,may not
of the first,817,first,of the
me and my,816,my,me and
on the road,816,road,on the
i know you,815,you,i know
and i are,814,are,and i
i guess i,814,i,i guess
the other side,814,side,the other
if i was,813,was,if i
to watch the,813,the,to watch
wish i was,812,was,wish i
i just got,811,got,i just
me and i,811,i,me and
front of the,810,the,front of
you are not,810,not,you are
to do so,808,so,to do
in addition to,807,to,in addition
i could have,806,have,i could
a group of,805,of,a group
a pair of,804,of,a pair
thanks for sharing,804,sharing,thanks for
a good time,803,time,a good
day of the,803,the,day of
and all the,802,the,and all
middle of the,802,the,middle of
on the floor,802,floor,on the
but i was,801,was,but i
to have to,801,to,to have
wait for the,801,the,wait for
at the top,800,top,at the
be a great,799,great,be a
the other hand,799,hand,the other
to do that,798,that,to do
are in the,796,the,are in
the next day,796,day,the next
the way i,796,i,the way
is the first,795,first,is the
will be in,795,in,will be
as you can,793,can,as you
i think we,793,we,i think
i try to,792,to,i try
it was just,791,just,it was
looks like a,791,a,looks like
i am in,790,in,i am
getting ready to,789,to,getting ready
for the last,787,last,for the
and have a,786,a,and have
let you know,786,know,let you
that i would,786,would,that i
a series of,785,of,a series
out to be,784,be,out to
you in the,783,the,you in
have to get,781,get,have to
to do is,781,is,to do
i want a,780,a,i want
is a very,780,very,is a
a fan of,779,of,a fan
even though i,779,i,even though
in the face,778,face,in the
to create a,777,a,to create
you are the,777,the,you are
this was a,776,a,this was
and you can,775,can,and you
reminds me of,774,of,reminds me
have a lot,773,lot,have a
of the night,773,night,of the
need to do,772,do,need to
there are some,772,some,there are
it on the,771,the,it on
just a few,771,few,just a
one of these,769,these,one of
or at least,769,least,or at
who wants to,768,to,who wants
you guys are,768,are,you guys
to me and,767,and,to me
was the first,766,first,was the
wish i had,766,had,wish i
can be a,765,a,can be
been able to,764,to,been able
i love this,764,this,i love
to think about,763,about,to think
to use the,763,the,to use
would be the,763,the,would be
and that is,762,is,and that
much as i,762,i,much as
for those who,761,who,for those
a few minutes,760,minutes,a few
forward to seeing,758,seeing,forward to
i tried to,758,to,i tried
you had a,758,a,you had
for the ff,756,ff,for the
so excited to,754,to,so excited
the ability to,754,to,the ability
give me a,753,a,give me
i should have,753,have,i should
the use of,753,of,the use
had to be,751,be,had to
in the city,750,city,in the
it's been a,750,a,it's been
just wanted to,750,to,just wanted
part of a,750,a,part of
to have you,750,you,to have
in the way,749,way,in the
over and over,746,over,over and
a matter of,745,of,a matter
in a row,745,row,in a
in the car,745,car,in the
really want to,745,to,really want
there are no,744,no,there are
i hate when,743,when,i hate
to have the,742,the,to have
for a long,740,long,for a
i think i'm,740,i'm,i think
i know it,738,it,i know
love to see,738,see,love to
to do something,738,something,to do
that there are,737,are,that there
the story of,737,of,the story
you have any,737,any,you have
out of a,736,a,out of
over the years,735,years,over the
but i do,734,do,but i
cant wait to,734,to,cant wait
forward to the,734,the,forward to
i have never,733,never,i have
way to go,732,go,way to
in the air,731,air,in the
to pick up,731,up,to pick
what is your,730,your,what is
it's time to,729,to,it's time
were going to,729,to,were going
the only way,728,way,the only
know what you,727,you,know what
what you think,727,think,what you
for a new,726,new,for a
i should be,726,be,i should
awkward moment when,725,when,awkward moment
that i could,725,could,that i
there are many,725,many,there are
is there a,724,a,is there
the university of,724,of,the university
in the back,723,back,in the
if you do,722,do,if you
it could be,722,be,it could
that was the,721,the,that was
the most important,721,important,the most
he is a,720,a,he is
ready to go,720,go,ready to
the amount of,720,of,the amount
around the world,719,world,around the
i dont want,719,want,i dont
in your life,719,life,in your
that we have,719,have,that we
what a great,719,great,what a
i'd love to,718,to,i'd love
know what to,717,to,know what
i had no,716,no,i had
a few more,713,more,a few
and i know,712,know,and i
can i get,711,get,can i
not sure if,711,if,not sure
should be a,711,a,should be
up for the,710,the,up for
thanks to all,708,all,thanks to
don't have a,706,a,don't have
for me i,706,i,for me
in a way,706,way,in a
it to be,706,be,it to
while i was,706,was,while i
i like it,705,it,i like
nothing to do,705,do,nothing to
would have to,704,to,would have
a good idea,703,idea,a good
that you have,702,have,that you
welcome to the,702,the,welcome to
by the end,701,end,by the
the world is,701,is,the world
when you get,700,get,when you
get to the,699,the,get to
the last few,699,few,the last
was a little,699,little,was a
i still have,698,have,i still
of the book,698,book,of the
are the best,697,best,are the
more of a,697,a,more of
to the next,697,next,to the
a variety of,696,of,a variety
for me and,696,and,for me
of the people,696,people,of the
to get some,695,some,to get
you know i,694,i,you know
at some point,693,point,at some
have you been,692,been,have you
so proud of,690,of,so proud
if you like,689,like,if you
you have the,689,the,you have
i don't even,688,even,i don't
is what i,688,i,is what
and they are,687,are,and they
so much to,687,to,so much
to come to,687,to,to come
and i just,686,just,and i
those of you,686,you,those of
a bit more,685,more,a bit
know what i,685,i,know what
some sort of,685,of,some sort
all of this,684,this,all of
i dont have,684,have,i dont
me know if,684,if,me know
what i was,683,was,what i
much for the,682,the,much for
some kind of,682,of,some kind
when you have,682,have,when you
great way to,681,to,great way
all of them,679,them,all of
for the past,678,past,for the
all of our,677,our,all of
make sure to,677,to,make sure
they are not,677,not,they are
a sense of,676,of,a sense
i was able,676,able,i was
not to mention,675,mention,not to
out on the,675,the,out on
over the past,675,past,over the
like to see,674,see,like to
you get a,674,a,you get
i didn't know,672,know,i didn't
it makes me,672,me,it makes
on the phone,672,phone,on the
to keep the,671,the,to keep
at least one,670,one,at least
and i can,669,can,and i
if it is,669,is,if it
a ton of,668,of,a ton
as i was,668,was,as i
on the th,668,th,on the
to the point,668,point,to the
well as the,668,the,well as
i got the,667,the,i got
i woke up,666,up,i woke
you know the,665,the,you know
they have a,664,a,they have
which is a,664,a,which is
if you dont,663,dont,if you
it is to,663,to,it is
had no idea,661,idea,had no
is just a,661,a,is just
the next few,661,few,the next
i love how,660,how,i love
to find the,660,the,to find
in the process,659,process,in the
is about to,659,to,is about
check out our,658,our,check out
did you get,657,get,did you
and we are,656,are,and we
be one of,656,of,be one
for a great,656,great,for a
i am the,656,the,i am
want you to,656,to,want you
go to sleep,655,sleep,go to
i don't care,655,care,i don't
not to be,655,be,not to
there is nothing,655,nothing,there is
it might be,654,be,it might
of the season,654,season,of the
do the same,653,same,do the
get rid of,653,of,get rid
it was an,653,an,it was
part of my,653,my,part of
the chance to,653,to,the chance
we have been,653,been,we have
a list of,652,of,a list
go to bed,652,bed,go to
i go to,652,to,i go
on how to,652,to,on how
so much more,652,more,so much
to get in,652,in,to get
don't know how,651,how,don't know
on to the,651,the,on to
at least i,650,i,at least
i love your,649,your,i love
if it was,649,was,if it
lot of people,649,people,lot of
on the back,649,back,on the
thanks for your,649,your,thanks for
based on the,648,the,based on
my best friend,648,friend,my best
people in the,648,the,people in
we went to,648,to,we went
i'm pretty sure,646,sure,i'm pretty
of the other,646,other,of the
the new york,646,york,the new
the point of,646,of,the point
love you too,645,too,love you
when he was,645,was,when he
is to be,644,be,is to
way to the,644,the,way to
excited to see,643,see,excited to
the one who,643,who,the one
we are all,643,all,we are
a few months,642,months,a few
now i have,642,have,now i
working on a,642,a,working on
i have had,641,had,i have
to try and,641,and,to try
gonna be a,639,a,gonna be
them in the,639,the,them in
be at the,638,the,be at
bottom of the,638,the,bottom of
here is a,638,a,here is
i'm trying to,638,to,i'm trying
i needed to,638,to,i needed
to say i,638,i,to say
is that i,637,i,is that
that is not,636,not,that is
the way you,636,you,the way
a look at,635,at,a look
could have been,635,been,could have
member of the,635,the,member of
i hope to,634,to,i hope
to know that,634,that,to know
who you are,634,are,who you
come to the,632,the,come to
i think this,631,this,i think
spread the word,631,word,spread the
you for your,631,your,you for
the best way,629,way,the best
want to make,629,make,want to
know that i,628,i,know that
no idea what,627,what,no idea
out how to,627,to,out how
waiting for the,627,the,waiting for
what the hell,627,hell,what the
had a good,626,good,had a
of the same,626,same,of the
you can find,626,find,you can
need to go,625,go,need to
you are in,625,in,you are
i have not,624,not,i have
i will have,623,have,i will
if you were,623,were,if you
a good one,622,one,a good
have you ever,622,ever,have you
it was great,622,great,it was
right now i,622,i,right now
first time in,621,in,first time
so i have,621,have,so i
a few hours,620,hours,a few
going to see,620,see,going to
to be honest,620,honest,to be
you know how,620,how,you know
last night i,619,i,last night
be the best,618,best,be the
hope you are,618,are,hope you
i was thinking,618,thinking,i was
to see my,618,my,to see
hit me up,617,up,hit me
i love to,617,to,i love
members of the,617,the,members of
to everyone who,617,who,to everyone
but this is,616,is,but this
why am i,616,i,why am
i know what,615,what,i know
this is why,615,why,this is
we are going,614,going,we are
give you a,613,a,give you
that will be,613,be,that will
think about it,613,it,think about
but i will,612,will,but i
new york city,612,city,new york
of the house,612,house,of the
to catch up,612,up,to catch
along the way,611,way,along the
of the things,611,things,of the
that can be,611,be,that can
was supposed to,611,to,was supposed
we are not,611,not,we are
give it a,610,a,give it
great to see,609,see,great to
if there is,609,is,if there
all is well,608,well,all is
back on the,608,the,back on
it is so,608,so,it is
of course the,608,the,of course
to be more,608,more,to be
you do not,608,not,you do
for the new,607,new,for the
is a little,607,little,is a
the start of,607,of,the start
that he is,606,is,that he
the age of,606,of,the age
the lack of,606,of,the lack
in the new,605,new,in the
will always be,605,be,will always
the right to,604,to,the right
a lot to,603,to,a lot
me want to,603,to,me want
i will not,602,not,i will
will you be,602,be,will you
able to get,601,get,able to
half of the,601,the,half of
i look forward,601,forward,i look
on the same,601,same,on the
and the other,600,other,and the
because it is,600,is,because it
this is one,600,one,this is
to me i,600,i,to me
i have an,599,an,i have
i really want,599,want,i really
are a few,598,few,are a
best way to,598,to,best way
do not have,598,have,do not
don't know if,598,if,don't know
thought i was,596,was,thought i
and there is,595,is,and there
going to go,595,go,going to
learn how to,595,to,learn how
the first place,595,place,the first
was trying to,595,to,was trying
people who are,594,are,people who
the history of,594,of,the history
the world and,594,and,the world
the world of,594,of,the world
this will be,594,be,this will
first day of,593,of,first day
i could be,593,be,i could
it may be,593,be,it may
so if you,593,you,so if
i was at,592,at,i was
and there are,591,are,and there
in other words,591,words,in other
time for a,591,a,time for
and for the,590,the,and for
feel like a,590,a,feel like
much of the,590,the,much of
that i will,590,will,that i
we had to,590,to,we had
what happened to,590,to,what happened
in this case,589,case,in this
of you who,589,who,of you
in one of,588,of,in one
they want to,588,to,they want
what did you,588,you,what did
you don't know,588,know,you don't
i am still,587,still,i am
look like a,586,a,look like
over the last,586,last,over the
the process of,586,of,the process
wanted to be,586,be,wanted to
is like a,585,a,is like
you get the,585,the,you get
i am sure,584,sure,i am
out of it,584,it,out of
see you at,584,at,see you
the size of,584,of,the size
to see that,584,that,to see
you know it,584,it,you know
but in the,583,the,but in
can do it,583,it,can do
for those of,583,of,for those
whether or not,583,not,whether or
will be on,583,on,will be
you're going to,583,to,you're going
a copy of,582,of,a copy
are so many,582,many,are so
just a little,582,little,just a
thanks to the,582,the,thanks to
for the weekend,581,weekend,for the
get to see,581,see,get to
here is the,581,the,here is
what you want,581,want,what you
you at the,581,the,you at
as good as,580,as,as good
here are some,580,some,here are
in the uk,580,uk,in the
oh my god,580,god,oh my
will be able,580,able,will be
little bit of,579,of,little bit
the importance of,579,of,the importance
to all my,579,my,to all
told me that,579,that,told me
why is it,579,it,why is
a member of,578,of,a member
but i know,578,know,but i
it was not,578,not,it was
so i could,578,could,so i
and when i,577,i,and when
i will never,577,never,i will
keep up the,577,the,keep up
on the right,577,right,on the
to me that,576,that,to me
you are so,576,so,you are
such a great,575,great,such a
take a look,575,look,take a
the majority of,575,of,the majority
it as a,574,a,it as
the difference between,574,between,the difference
we have the,574,the,we have
have to wait,573,wait,have to
i made a,573,a,i made
that awkward moment,573,moment,that awkward
to be done,573,done,to be
make it to,572,to,make it
they need to,572,to,they need
this was the,572,the,this was
to know what,572,what,to know
up in a,572,a,up in
listening to the,571,the,listening to
the sound of,571,of,the sound
to share with,571,with,to share
it's hard to,570,to,it's hard
on the internet,570,internet,on the
and i would,569,would,and i
day to all,567,all,day to
was on the,567,the,was on
why are you,567,you,why are
not want to,566,to,not want
to go out,566,out,to go
because they are,565,are,because they
there are so,565,so,there are
to one of,565,of,to one
here in the,564,the,here in
so i was,564,was,so i
soon as i,564,i,soon as
the hunger games,564,games,the hunger
to think of,564,of,to think
i had been,563,been,i had
the past few,563,few,the past
you would like,563,like,you would
in my opinion,562,opinion,in my
the side of,562,of,the side
cinco de mayo,561,mayo,cinco de
i hope that,560,that,i hope
if you haven't,560,haven't,if you
trying to figure,560,figure,trying to
i'm not a,559,a,i'm not
it would have,559,have,it would
not in the,559,the,not in
what are your,559,your,what are
didn't want to,558,to,didn't want
for us to,558,to,for us
on the ground,558,ground,on the
the need to,558,to,the need
couple of weeks,557,weeks,couple of
i live in,557,in,i live
chance to win,556,win,chance to
makes me feel,556,feel,makes me
meant to be,556,be,meant to
so that i,556,i,so that
to go with,556,with,to go
to you and,556,and,to you
because it was,555,was,because it
i can tell,555,tell,i can
need to know,555,know,need to
the things that,555,that,the things
going to make,554,make,going to
i cant wait,554,wait,i cant
i just saw,554,saw,i just
i think of,554,of,i think
just need to,554,to,just need
so i am,554,am,so i
we can do,554,do,we can
i was not,553,not,i was
in the th,553,th,in the
is gonna be,553,be,is gonna
and i hope,552,hope,and i
and will be,552,be,and will
but there are,551,are,but there
on the radio,551,radio,on the
in my mind,550,mind,in my
not so much,550,much,not so
will have a,550,a,will have
do you like,549,like,do you
stay tuned for,549,for,stay tuned
we all know,549,know,we all
but there is,548,is,but there
come back to,548,to,come back
for the most,548,most,for the
to follow me,548,me,to follow
to tell me,548,me,to tell
a result of,547,of,a result
have a wonderful,547,wonderful,have a
in the country,547,country,in the
you know you,547,you,you know
trying to make,546,make,trying to
you like to,546,to,you like
follow me back,545,back,follow me
is going on,545,on,is going
it seems like,545,like,it seems
the best thing,545,thing,the best
to be at,545,at,to be
i see you,544,you,i see
and i can't,543,can't,and i
i think they,543,they,i think
thanks for all,543,all,thanks for
what i want,543,want,what i
i have ever,542,ever,i have
if you think,542,think,if you
we love you,542,you,we love
a great way,541,way,a great
he has a,541,a,he has
why do you,541,you,why do
and you will,540,will,and you
in the day,540,day,in the
live in the,540,the,live in
of the game,540,game,of the
the day i,540,i,the day
to focus on,540,on,to focus
of the way,539,way,of the
time for the,539,the,time for
you should be,539,be,you should
forward to it,538,it,forward to
i haven't been,538,been,i haven't
is so much,538,much,is so
such as the,538,the,such as
those who are,538,are,those who
but i can't,537,can't,but i
like to be,537,be,like to
this is an,537,an,this is
came up with,536,with,came up
the state of,536,of,the state
to those who,536,who,to those
along with the,535,the,along with
in high school,535,school,in high
that's what i,535,i,that's what
what i do,535,do,what i
for a couple,534,couple,for a
for the shout,534,shout,for the
i can say,534,say,i can
i didn't have,534,have,i didn't
is a lot,534,lot,is a
see you in,534,in,see you
the life of,534,of,the life
