ngram,n,predicted,first
as well,10231,well,as
i need,10188,need,i
the new,10130,new,the
with my,10042,my,with
me to,10040,to,me
part of,9997,of,part
more than,9940,than,more
able to,9903,to,able
at least,9847,least,at
the other,9792,other,the
some of,9782,of,some
i got,9779,got,i
as i,9769,i,as
way to,9767,to,way
was the,9717,the,was
in this,9702,this,in
can be,9652,be,can
i can't,9608,can't,i
and it,9587,it,and
over the,9493,the,over
the time,9478,time,the
i do,9452,do,i
the last,9208,last,the
of this,9200,this,of
that you,9129,you,that
a bit,9064,bit,a
for you,9030,you,for
of course,9008,course,of
the day,8944,day,the
had to,8935,to,had
to say,8935,say,to
to take,8912,take,to
the next,8910,next,the
up to,8898,to,up
i hope,8856,hope,i
should be,8752,be,should
the only,8715,only,the
kind of,8648,of,kind
but the,8601,the,but
that was,8570,was,that
love you,8486,you,love
for my,8453,my,for
get a,8373,a,get
of our,8259,our,of
like to,8252,to,like
be the,8236,the,be
how to,8219,to,how
he is,8101,is,he
i feel,8087,feel,i
but it,8086,it,but
i dont,8069,dont,i
to you,8047,you,to
like the,8000,the,like
at a,7894,a,at
the end,7857,end,the
i thought,7796,thought,i
can't wait,7758,wait,can't
i like,7730,like,i
it to,7665,to,it
of your,7660,your,of
you want,7638,want,you
not a,7633,a,not
are the,7629,the,are
what you,7609,you,what
i get,7606,get,i
i did,7577,did,i
forward to,7565,to,forward
you to,7556,to,you
has a,7523,a,has
in your,7463,your,in
that we,7331,we,that
they were,7315,were,they
we can,7306,can,we
wanted to,7285,to,wanted
of his,7270,his,of
i'm not,7266,not,i'm
have the,7241,the,have
last night,7231,night,last
me and,7223,and,me
that it,7189,it,that
such a,7160,a,such
i really,7158,really,i
see you,7135,you,see
to work,7128,work,to
up with,7086,with,up
what is,7004,is,what
and we,7003,we,and
you will,6969,will,you
out the,6942,the,out
to find,6937,find,to
of them,6836,them,of
which is,6809,is,which
this week,6803,week,this
and you,6794,you,and
would have,6788,have,would
my life,6786,life,my
of it,6784,it,of
is it,6777,it,is
it's a,6771,a,it's
because i,6710,i,because
know what,6675,what,know
and that,6649,that,and
through the,6637,the,through
of you,6635,you,of
up and,6632,and,up
is to,6608,to,is
do it,6588,it,do
we were,6578,were,we
do not,6557,not,do
you for,6553,for,you
that he,6546,he,that
it would,6522,would,it
when the,6509,the,when
make it,6475,it,make
up the,6412,the,up
she was,6409,was,she
from a,6363,a,from
did you,6344,you,did
let me,6313,me,let
out to,6303,to,out
there was,6299,was,there
this year,6271,year,this
it will,6261,will,it
about it,6252,it,about
that they,6241,they,that
get to,6211,to,get
not to,6204,to,not
with you,6169,you,with
follow me,6168,me,follow
a very,6154,very,a
to know,6154,know,to
end of,6133,of,end
for your,6107,your,for
it and,6099,and,it
you and,6072,and,you
a couple,6064,couple,a
just a,6053,a,just
make a,6024,a,make
into a,6014,a,into
i hate,6000,hate,i
see the,5997,the,see
to keep,5979,keep,to
is so,5976,so,is
to come,5948,come,to
for this,5928,this,for
me i,5922,i,me
used to,5902,to,used
i didn't,5897,didn't,i
looking for,5871,for,looking
got a,5865,a,got
on your,5842,your,on
on this,5819,this,on
to all,5806,all,to
and my,5792,my,and
know that,5723,that,know
they have,5712,have,they
time i,5707,i,time
in his,5690,his,in
feel like,5685,like,feel
try to,5674,to,try
hope you,5652,you,hope
is going,5650,going,is
you get,5636,get,you
love to,5632,to,love
you think,5628,think,you
check out,5605,out,check
a big,5603,big,a
most of,5602,of,most
don't know,5589,know,don't
of all,5577,all,of
wait to,5573,to,wait
to help,5570,help,to
so many,5561,many,so
the one,5558,one,the
look at,5551,at,look
i wish,5550,wish,i
we will,5543,will,we
at all,5540,all,at
of their,5533,their,of
is in,5519,in,is
in our,5512,our,in
get the,5503,the,get
is an,5496,an,is
to hear,5479,hear,to
you don't,5451,don't,you
i guess,5442,guess,i
me a,5439,a,me
now i,5418,i,now
of us,5413,us,of
take a,5412,a,take
you do,5404,do,you
lots of,5391,of,lots
and they,5376,they,and
the right,5373,right,the
not the,5366,the,not
are not,5363,not,are
looking forward,5337,forward,looking
you guys,5319,guys,you
with me,5300,me,with
it in,5283,in,it
no one,5278,one,no
to your,5275,your,to
what a,5274,a,what
around the,5271,the,around
to give,5223,give,to
could be,5215,be,could
are a,5202,a,are
is my,5196,my,is
off the,5186,the,off
we had,5182,had,we
this morning,5152,morning,this
and he,5141,he,and
be in,5140,in,be
she is,5128,is,she
the whole,5116,whole,the
of those,5111,those,of
ready to,5108,to,ready
to use,5099,use,to
the rest,5091,rest,the
you need,5085,need,you
for all,5047,all,for
up in,5017,in,up
if the,5016,the,if
a long,4997,long,a
i've been,4982,been,i've
it has,4977,has,it
people who,4960,who,people
by a,4959,a,by
been a,4947,a,been
to start,4941,start,to
have you,4939,you,have
it i,4937,i,it
my favorite,4886,favorite,my
think i,4879,i,think
love the,4857,the,love
you should,4848,should,you
may be,4806,be,may
it out,4762,out,it
come to,4759,to,come
this weekend,4752,weekend,this
went to,4737,to,went
be able,4736,able,be
about to,4729,to,about
thanks to,4721,to,thanks
because of,4710,of,because
of these,4706,these,of
too much,4706,much,too
what the,4702,the,what
who is,4677,is,who
during the,4676,the,during
and not,4670,not,and
the past,4652,past,the
when we,4642,we,when
in their,4640,their,in
how much,4603,much,how
back in,4596,in,back
up on,4596,on,up
did not,4571,not,did
having a,4569,a,having
after the,4567,the,after
couple of,4567,of,couple
those who,4556,who,those
instead of,4555,of,instead
it all,4531,all,it
and in,4504,in,and
he has,4501,has,he
out there,4500,there,out
i see,4497,see,i
of her,4497,her,of
was in,4487,in,was
up for,4475,for,up
need a,4460,a,need
ready for,4451,for,ready
not be,4448,be,not
of that,4430,that,of
love it,4419,it,love
so far,4418,far,so
enough to,4413,to,enough
if they,4412,they,if
then i,4399,i,then
is no,4395,no,is
i still,4391,still,i
you were,4387,were,you
i should,4385,should,i
time for,4354,for,time
happy birthday,4349,birthday,happy
new york,4345,york,new
decided to,4342,to,decided
the people,4338,people,the
in and,4325,and,in
looks like,4323,like,looks
rest of,4323,of,rest
it's not,4308,not,it's
the book,4293,book,the
them to,4291,to,them
out and,4288,and,out
had been,4287,been,had
well as,4287,as,well
for some,4286,some,for
he said,4286,said,he
the top,4286,top,the
is one,4285,one,is
when it,4284,it,when
if it,4279,it,if
hard to,4278,to,hard
the fact,4276,fact,the
when he,4270,he,when
i miss,4269,miss,i
the house,4262,house,the
to our,4254,our,to
can you,4248,you,can
and to,4239,to,and
to this,4233,this,to
the game,4228,game,the
like that,4214,that,like
my own,4211,own,my
and his,4203,his,and
do i,4203,i,do
the follow,4202,follow,the
to watch,4192,watch,to
have no,4185,no,have
this was,4178,was,this
get it,4164,it,get
than the,4162,the,than
wish i,4160,i,wish
might be,4142,be,might
i'll be,4139,be,i'll
this time,4131,time,this
got to,4127,to,got
i saw,4120,saw,i
at pm,4116,pm,at
good morning,4113,morning,good
i'm going,4105,going,i'm
like it,4088,it,like
in an,4083,an,in
does not,4080,not,does
know how,4078,how,know
it up,4077,up,it
listening to,4071,to,listening
when they,4071,they,when
must be,4069,be,must
according to,4054,to,according
and all,4054,all,and
is just,4049,just,is
i used,4047,used,i
first time,4045,time,first
we need,4043,need,we
to play,4036,play,to
you like,4034,like,you
so that,4023,that,so
don't have,4021,have,don't
i wanted,4021,wanted,i
a day,4008,day,a
from my,3998,my,from
as it,3988,it,as
away from,3983,from,away
who are,3980,are,who
was not,3969,not,was
talking about,3967,about,talking
you all,3964,all,you
working on,3960,on,working
the th,3951,th,the
its a,3946,a,its
for our,3943,our,for
make sure,3930,sure,make
that would,3928,would,that
just got,3926,got,just
down the,3917,the,down
this one,3914,one,this
in that,3902,that,in
each other,3896,other,each
not sure,3894,sure,not
on twitter,3888,twitter,on
a while,3883,while,a
fact that,3879,that,fact
my mom,3873,mom,my
you a,3871,a,you
a year,3863,year,a
think of,3850,of,think
such as,3844,as,such
to meet,3834,meet,to
going on,3831,on,going
better than,3827,than,better
all i,3820,i,all
am i,3818,i,am
with your,3817,your,with
i went,3812,went,i
years ago,3806,ago,years
say that,3805,that,say
if we,3804,we,if
is on,3794,on,is
as you,3792,you,as
to try,3792,try,to
can do,3787,do,can
as we,3778,we,as
the story,3768,story,the
and have,3767,have,and
to it,3764,it,to
like i,3761,i,like
was so,3744,so,was
day of,3732,of,day
know i,3730,i,know
about a,3725,a,about
that are,3725,are,that
to put,3718,put,to
for it,3712,it,for
you in,3709,in,you
and i'm,3705,i'm,and
are so,3705,so,are
my first,3703,first,my
tell me,3701,me,tell
he had,3695,had,he
and get,3686,get,and
to read,3684,read,to
for that,3679,that,for
for an,3678,an,for
will have,3678,have,will
i found,3677,found,i
but not,3669,not,but
up a,3653,a,up
and so,3650,so,and
at this,3646,this,at
so we,3641,we,so
a week,3638,week,a
it a,3631,a,it
of what,3628,what,of
with this,3627,this,with
it on,3625,on,it
i also,3623,also,i
wants to,3620,to,wants
on it,3617,it,on
to tell,3611,tell,to
makes me,3609,me,makes
like this,3605,this,like
i never,3602,never,i
is what,3592,what,is
tell you,3589,you,tell
the us,3579,us,the
i mean,3577,mean,i
the word,3575,word,the
all my,3571,my,all
was just,3556,just,was
i cant,3555,cant,i
you could,3542,could,you
and is,3536,is,and
my new,3533,new,my
needs to,3525,to,needs
can i,3523,i,can
the year,3521,year,the
bit of,3520,of,bit
the second,3520,second,the
not only,3517,only,not
or a,3505,a,or
as much,3500,much,as
to share,3497,share,to
make the,3489,the,make
or the,3488,the,or
and she,3484,she,and
before the,3482,the,before
of people,3482,people,of
down to,3475,to,down
a man,3474,man,a
but you,3471,you,but
that she,3470,she,that
where i,3470,i,where
with her,3470,her,with
last year,3457,year,last
on his,3454,his,on
im not,3452,not,im
what we,3444,we,what
off to,3437,to,off
i made,3436,made,i
all day,3434,day,all
that this,3427,this,that
good luck,3426,luck,good
and more,3422,more,and
what are,3420,are,what
where the,3420,the,where
and now,3412,now,and
me that,3412,that,me
had the,3411,the,had
at my,3404,my,at
of an,3400,an,of
their own,3400,own,their
to think,3400,think,to
the show,3399,show,the
a small,3397,small,a
that will,3397,will,that
to talk,3396,talk,to
to look,3394,look,to
being a,3389,a,being
we all,3387,all,we
out for,3385,for,out
the city,3385,city,the
how many,3378,many,how
due to,3377,to,due
time and,3377,and,time
that a,3363,a,that
a nice,3362,nice,a
and if,3359,if,and
what they,3347,they,what
is still,3345,still,is
i'm so,3344,so,i'm
talk about,3343,about,talk
has to,3341,to,has
in fact,3339,fact,in
us to,3338,to,us
even though,3336,though,even
i knew,3328,knew,i
as they,3326,they,as
with it,3325,it,with
life is,3324,is,life
i'm a,3320,a,i'm
it for,3317,for,it
there were,3316,were,there
to win,3310,win,to
number of,3307,of,number
if you're,3306,you're,if
all that,3305,that,all
have an,3305,an,have
to her,3305,her,to
after a,3303,a,after
are in,3297,in,are
me in,3295,in,me
i said,3285,said,i
listen to,3283,to,listen
even if,3279,if,even
on our,3263,our,on
on that,3261,that,on
you see,3253,see,you
many of,3247,of,many
waiting for,3246,for,waiting
can get,3238,get,can
of me,3237,me,of
how i,3236,i,how
but we,3234,we,but
do the,3229,the,do
what do,3220,do,what
last week,3218,week,last
to his,3217,his,to
to follow,3210,follow,to
in her,3209,her,in
next week,3208,week,next
full of,3204,of,full
the big,3197,big,the
should have,3196,have,should
to write,3196,write,to
as an,3190,an,as
is this,3184,this,is
excited to,3179,to,excited
before i,3176,i,before
think about,3165,about,think
think that,3163,that,think
in order,3157,order,in
for her,3152,her,for
for us,3152,us,for
wait for,3142,for,wait
seems to,3138,to,seems
you just,3138,just,you
you so,3119,so,you
on to,3118,to,on
talk to,3110,to,talk
with his,3109,his,with
and this,3103,this,and
under the,3100,the,under
the night,3099,night,the
will not,3091,not,will
him to,3090,to,him
than a,3086,a,than
supposed to,3085,to,supposed
and other,3084,other,and
on their,3082,their,on
one day,3082,day,one
told me,3071,me,told
live in,3070,in,live
about this,3053,this,about
and how,3047,how,and
what it,3039,it,what
is now,3034,now,is
sort of,3034,of,sort
my head,3025,head,my
out in,3025,in,out
would like,3023,like,would
your own,3021,own,your
gonna be,3020,be,gonna
my mind,3015,mind,my
you too,3014,too,you
and what,3013,what,and
why i,3013,i,why
the two,3012,two,the
a huge,3011,huge,a
yes i,3010,i,yes
me know,3008,know,me
i haven't,3005,haven't,i
its not,3004,not,its
miss you,3004,you,miss
be on,2998,on,be
that one,2994,one,that
to stop,2994,stop,to
and its,2992,its,and
but i'm,2991,i'm,but
because it,2990,it,because
but they,2990,they,but
my heart,2984,heart,my
seem to,2984,to,seem
high school,2983,school,high
i always,2982,always,i
could have,2981,have,could
i didnt,2978,didnt,i
people are,2978,are,people
here in,2977,in,here
at home,2975,home,at
today i,2972,i,today
with all,2972,all,with
and for,2971,for,and
they can,2970,can,they
which i,2968,i,which
with that,2960,that,with
do with,2947,with,do
they will,2938,will,they
to live,2934,live,to
that my,2933,my,that
me the,2932,the,me
front of,2930,of,front
was going,2930,going,was
the middle,2929,middle,the
you can't,2925,can't,you
it but,2924,but,it
day and,2919,and,day
good to,2919,to,good
along with,2917,with,along
well i,2917,i,well
across the,2910,the,across
with an,2907,an,with
you would,2904,would,you
since i,2901,i,since
the s,2898,s,the
chance to,2888,to,chance
we do,2884,do,we
to sleep,2883,sleep,to
a way,2880,way,a
day to,2878,to,day
my friend,2878,friend,my
would you,2876,you,would
are going,2875,going,are
any of,2874,of,any
top of,2870,of,top
make me,2864,me,make
rather than,2862,than,rather
know the,2861,the,know
would love,2860,love,would
the future,2858,future,the
the more,2857,more,the
look like,2854,like,look
i say,2853,say,i
to eat,2851,eat,to
with some,2845,some,with
find a,2843,a,find
in love,2843,love,in
be there,2842,there,be
and was,2840,was,and
you i,2838,i,you
a time,2833,time,a
that there,2832,there,that
am not,2827,not,am
can see,2825,see,can
it seems,2825,seems,it
it with,2823,with,it
how do,2817,do,how
tried to,2817,to,tried
do that,2814,that,do
but he,2813,he,but
here is,2812,is,here
so you,2811,you,so
to learn,2806,learn,to
the back,2803,back,the
know if,2800,if,know
and there,2798,there,and
much more,2797,more,much
of time,2794,time,of
or not,2788,not,or
the morning,2785,morning,the
don't want,2784,want,don't
and your,2783,your,and
in it,2779,it,in
side of,2779,of,side
in which,2775,which,in
in one,2774,one,in
see what,2772,what,see
my friends,2770,friends,my
day i,2769,i,day
the good,2766,good,the
the kids,2757,kids,the
not have,2749,have,not
so excited,2749,excited,so
is also,2744,also,is
all over,2741,over,all
based on,2741,on,based
for more,2741,more,for
if he,2739,he,if
made it,2731,it,made
every day,2723,day,every
is your,2717,your,is
for his,2715,his,for
your life,2712,life,your
for those,2711,those,for
them and,2692,and,them
in front,2690,front,in
may have,2689,have,may
only one,2689,one,only
rt i,2689,i,rt
the great,2689,great,the
happy to,2687,to,happy
to show,2685,show,to
at work,2684,work,at
did i,2684,i,did
got the,2680,the,got
she has,2680,has,she
interested in,2679,in,interested
no matter,2678,matter,no
as he,2676,he,as
i believe,2676,believe,i
sure to,2676,to,sure
to buy,2673,buy,to
and some,2669,some,and
a chance,2666,chance,a
it just,2663,just,it
just like,2661,like,just
you may,2658,may,you
are all,2657,all,are
i wanna,2657,wanna,i
made me,2656,me,made
back and,2654,and,back
don't think,2643,think,don't
order to,2643,to,order
that has,2643,has,that
because they,2642,they,because
what to,2639,to,what
thinking about,2635,about,thinking
made a,2624,a,made
to that,2624,that,to
but if,2621,if,but
take the,2620,the,take
today is,2618,is,today
out on,2616,on,out
about how,2609,how,about
to their,2604,their,to
a bad,2603,bad,a
while i,2599,i,while
for following,2598,following,for
no longer,2598,longer,no
not just,2596,just,not
it the,2594,the,it
where you,2593,you,where
social media,2591,media,social
in all,2590,all,in
for their,2589,their,for
and her,2587,her,and
like you,2586,you,like
because the,2579,the,because
a wonderful,2578,wonderful,a
with us,2578,us,with
against the,2572,the,against
now that,2562,that,now
a friend,2561,friend,a
who has,2558,has,who
see it,2556,it,see
them in,2556,in,them
the idea,2554,idea,the
i might,2551,might,i
out with,2548,with,out
i felt,2544,felt,i
but it's,2542,it's,but
do a,2542,a,do
do this,2536,this,do
and when,2533,when,and
dont know,2532,know,dont
at am,2525,am,at
i started,2523,started,i
sounds like,2516,like,sounds
things that,2514,that,things
close to,2512,to,close
and their,2506,their,and
a whole,2505,whole,a
but that,2503,that,but
on her,2503,her,on
the sun,2502,sun,the
looking at,2498,at,looking
me on,2493,on,me
next to,2491,to,next
to stay,2486,stay,to
is all,2478,all,is
a book,2477,book,a
an hour,2472,hour,an
a better,2471,better,a
the old,2471,old,the
come on,2469,on,come
find out,2467,out,find
time in,2464,in,time
they had,2461,had,they
we got,2459,got,we
hope to,2458,to,hope
think it,2458,it,think
just as,2452,as,just
to change,2450,change,to
the state,2448,state,the
the weekend,2447,weekend,the
for them,2446,them,for
and it's,2445,it's,and
amount of,2443,of,amount
watching the,2443,the,watching
every time,2442,time,every
to leave,2442,leave,to
to create,2436,create,to
much as,2434,as,much
less than,2433,than,less
it's the,2427,the,it's
between the,2426,the,between
who have,2426,have,who
the real,2421,real,the
how the,2419,the,how
so the,2419,the,so
as if,2418,if,as
to him,2417,him,to
but this,2415,this,but
and even,2414,even,and
the entire,2411,entire,the
to an,2411,an,to
we should,2408,should,we
how you,2403,you,how
i wonder,2403,wonder,i
have some,2402,some,have
so it,2402,it,so
is there,2400,there,is
and will,2399,will,and
i decided,2389,decided,i
sense of,2389,of,sense
you dont,2387,dont,you
is like,2386,like,is
to let,2386,let,to
until the,2386,the,until
the lord,2378,lord,the
said that,2373,that,said
have any,2371,any,have
is very,2371,very,is
a real,2369,real,a
the truth,2367,truth,the
was an,2367,an,was
the very,2366,very,the
nice to,2362,to,nice
the road,2361,road,the
the man,2359,man,the
has the,2358,the,has
him and,2357,and,him
of being,2357,being,of
to bring,2356,bring,to
in to,2352,to,in
how are,2351,are,how
i find,2351,find,i
a beautiful,2349,beautiful,a
love that,2348,that,love
i remember,2347,remember,i
i took,2347,took,i
the movie,2347,movie,the
lol i,2343,i,lol
long time,2340,time,long
what was,2335,was,what
at me,2330,me,at
the door,2320,door,the
you the,2320,the,you
get my,2313,my,get
is about,2312,about,is
to check,2310,check,to
i go,2309,go,i
people in,2305,in,people
welcome to,2304,to,welcome
though i,2303,i,though
the week,2301,week,the
go back,2300,back,go
me too,2300,too,me
the rt,2300,rt,the
and as,2299,as,and
when she,2299,she,when
with their,2297,their,with
much for,2296,for,much
it as,2295,as,it
no idea,2291,idea,no
of life,2291,life,of
piece of,2290,of,piece
we could,2290,could,we
great day,2289,day,great
all about,2287,about,all
so good,2285,good,so
use the,2282,the,use
she had,2281,had,she
out a,2280,a,out
the country,2280,country,the
just to,2278,to,just
there's a,2275,a,there's
me up,2273,up,me
you on,2273,on,you
you love,2268,love,you
up at,2265,at,up
back on,2255,on,back
that in,2254,in,that
the worst,2254,worst,the
and see,2252,see,and
know you,2249,you,know
and make,2246,make,and
much of,2246,of,much
she said,2246,said,she
the point,2243,point,the
why do,2239,do,why
you got,2239,got,you
and just,2236,just,and
more of,2235,of,more
now and,2232,and,now
comes to,2231,to,comes
me for,2228,for,me
since the,2227,the,since
see a,2226,a,see
is more,2223,more,is
to them,2223,them,to
the things,2222,things,the
it can,2216,can,it
think the,2214,the,think
with them,2214,them,with
we love,2213,love,we
day in,2212,in,day
get out,2210,out,get
next time,2207,time,next
came to,2204,to,came
not even,2204,even,not
who was,2202,was,who
easy to,2197,to,easy
know it,2197,it,know
the car,2197,car,the
my way,2195,way,my
about that,2192,that,about
coming to,2192,to,coming
something that,2191,that,something
work on,2190,on,work
lack of,2186,of,lack
he would,2184,would,he
love and,2184,and,love
give me,2183,me,give
his own,2183,own,his
long as,2183,as,long
for him,2180,him,for
but in,2177,in,but
will never,2176,never,will
it comes,2175,comes,it
is good,2173,good,is
if u,2169,u,if
not going,2165,going,not
with him,2165,him,with
an amazing,2164,amazing,an
my phone,2164,phone,my
some people,2164,people,some
said the,2163,the,said
you might,2162,might,you
follow back,2157,back,follow
i'm in,2157,in,i'm
life and,2154,and,life
may not,2153,not,may
your favorite,2152,favorite,your
be sure,2150,sure,be
for years,2149,years,for
in some,2146,some,in
which was,2145,was,which
see how,2144,how,see
way of,2143,of,way
to bed,2142,bed,to
continue to,2141,to,continue
we get,2141,get,we
of god,2140,god,of
it's been,2139,been,it's
be an,2137,an,be
the moment,2137,moment,the
come back,2135,back,come
people to,2135,to,people
than i,2132,i,than
just the,2130,the,just
let us,2127,us,let
year old,2124,old,year
to pay,2123,pay,to
they do,2122,do,they
to move,2121,move,to
you had,2121,had,you
i may,2120,may,i
come out,2119,out,come
needed to,2118,to,needed
about you,2114,you,about
believe that,2114,that,believe
get back,2112,back,get
what he,2109,he,what
you feel,2109,feel,you
can make,2108,make,can
but a,2107,a,but
to us,2106,us,to
you go,2103,go,you
get your,2102,your,get
the main,2097,main,the
not in,2092,in,not
i'm sure,2091,sure,i'm
the name,2091,name,the
and one,2090,one,and
is always,2090,always,is
even more,2085,more,even
a large,2082,large,a
i told,2082,told,i
shout out,2080,out,shout
of its,2076,its,of
that's a,2076,a,that's
after all,2074,all,after
it so,2071,so,it
and no,2069,no,and
something to,2069,to,something
we would,2069,would,we
was that,2067,that,was
was to,2066,to,was
a different,2065,different,a
am so,2064,so,am
be at,2063,at,be
is for,2062,for,is
a woman,2060,woman,a
i look,2059,look,i
one thing,2059,thing,one
wake up,2059,up,wake
was on,2059,on,was
about my,2056,my,about
one is,2056,is,one
see if,2055,if,see
on and,2052,and,on
give you,2051,you,give
my husband,2051,husband,my
and are,2050,are,and
here and,2048,and,here
proud of,2047,of,proud
go on,2046,on,go
have had,2040,had,have
same time,2036,time,same
read the,2034,the,read
work and,2033,and,work
thought i,2031,i,thought
home and,2030,and,home
many people,2027,people,many
to ask,2024,ask,to
i read,2023,read,i
not that,2023,that,not
please follow,2023,follow,please
why is,2023,is,why
and on,2019,on,and
glad you,2015,you,glad
all you,2008,you,all
yeah i,2006,i,yeah
next year,2003,year,next
us and,2003,and,us
that if,2000,if,that
down and,1999,and,down
you at,1998,at,you
am a,1997,a,am
how it,1996,it,how
friends and,1995,and,friends
few days,1993,days,few
as long,1992,long,as
i'm just,1991,just,i'm
thing i,1991,i,thing
my family,1990,family,my
with our,1989,our,with
the case,1988,case,the
want a,1986,a,want
the internet,1984,internet,the
while the,1984,the,while
new year,1983,year,new
get some,1982,some,get
these are,1982,are,these
over to,1979,to,over
is really,1977,really,is
only a,1975,a,only
the bottom,1975,bottom,the
too many,1972,many,too
and be,1971,be,and
her to,1971,to,her
look forward,1971,forward,look
tonight at,1967,at,tonight
great to,1966,to,great
pick up,1966,up,pick
over and,1964,and,over
might have,1960,have,might
these days,1959,days,these
then the,1958,the,then
my dad,1956,dad,my
they would,1956,would,they
watch the,1956,the,watch
will do,1953,do,will
type of,1952,of,type
be more,1948,more,be
up my,1946,my,up
about what,1945,what,about
be so,1945,so,be
figure out,1945,out,figure
will get,1945,get,will
the film,1944,film,the
glad to,1941,to,glad
the final,1941,final,the
on top,1938,top,on
along the,1937,the,along
and of,1936,of,and
thought it,1936,it,thought
a month,1934,month,a
the little,1934,little,the
in new,1933,new,in
he will,1932,will,he
that's what,1928,what,that's
today and,1928,and,today
my day,1922,day,my
are still,1921,still,are
get in,1917,in,get
end up,1916,up,end
deal with,1915,with,deal
are some,1914,some,are
think you,1913,you,think
to spend,1913,spend,to
a girl,1910,girl,a
here are,1910,are,here
one that,1910,that,one
on me,1909,me,on
with no,1909,no,with
and had,1908,had,and
and has,1907,has,and
in life,1907,life,in
if your,1906,your,if
but when,1903,when,but
all this,1902,this,all
a free,1899,free,a
it does,1899,does,it
little bit,1899,bit,little
become a,1897,a,become
starting to,1896,to,starting
would not,1895,not,would
it when,1892,when,it
it makes,1891,makes,it
pretty much,1889,much,pretty
but then,1887,then,but
have fun,1885,fun,have
this book,1881,book,this
i heard,1879,heard,i
time of,1877,of,time
to call,1877,call,to
the following,1876,following,the
a single,1875,single,a
work with,1875,with,work
take it,1873,it,take
no more,1872,more,no
call me,1870,me,call
use of,1865,of,use
just saw,1864,saw,just
see that,1864,that,see
way i,1862,i,way
make you,1861,you,make
place to,1860,to,place
that can,1857,can,that
dont have,1855,have,dont
things i,1854,i,things
someone who,1843,who,someone
to school,1843,school,to
a really,1841,really,a
bunch of,1841,of,bunch
on facebook,1841,facebook,on
ability to,1840,to,ability
but there,1840,there,but
find the,1837,the,find
into my,1836,my,into
the family,1832,family,the
to and,1832,and,to
good for,1829,for,good
over a,1829,a,over
a place,1828,place,a
took a,1827,a,took
time with,1826,with,time
don't forget,1825,forget,don't
had no,1823,no,had
at that,1821,that,at
list of,1821,of,list
made the,1821,the,made
to run,1821,run,to
you ever,1818,ever,you
idea of,1815,of,idea
got my,1814,my,got
out that,1814,that,out
for sure,1813,sure,for
still have,1813,have,still
that have,1813,have,that
we just,1813,just,we
don't like,1810,like,don't
for being,1809,being,for
my best,1808,best,my
out my,1808,my,out
there will,1808,will,there
join us,1807,us,join
the problem,1807,problem,the
i loved,1806,loved,i
will you,1806,you,will
the season,1805,season,the
willing to,1803,to,willing
the hell,1798,hell,the
mother's day,1797,day,mother's
so happy,1797,happy,so
the perfect,1797,perfect,the
excited for,1796,for,excited
quite a,1796,a,quite
the music,1796,music,the
for one,1795,one,for
love with,1795,with,love
the united,1794,united,the
the front,1791,front,the
for example,1788,example,for
